"Outlet ID","Outlet Name","Location 1","Outlet Code","SMS_Off","Start Time","End Time"
"530ef84902bc583c21000004","Biryani Blues (Supermart)","Supermart 1","BB1",1,2300,900
"530ef95f02bc583c2100000d","Biryani Blues (Ninex City Mart)","Ninex City Mart","BB2",1,2300,900
"530ef9f502bc583c21000010","Joint Cafe!","DLF Galleria","JCF",1,2300,900
"530eff0e02bc583c2100001b","Cocktails n Dreams, Speakeasy","Sec 15, Part 2","CDS",1,2330,1130
"53142d821c33946a3d000088","Vapour","MGF Megacity Mall","VAP",1,2330,1130
"531435a01c33946a3d000090","Canton Spice Company","Cyber Hub","CSC",1,2300,900
"531457301c33946a3d0000a3","Cooper's Grill & Bar","DLF Star Tower","CGB",1,2330,1130
"5316d59326b019ee59000026","Crusty - Gourmet Pizza & More (Galleria)","DLF Galleria","CG1",1,2300,900
"5318bcfef9a18b685d000348","Striker Pub & Brewery","Global Foyer Mall","SPB",1,2330,1130
"531962c7f9a18b685d000380","Tango's Bar & Grill","Cross Point Mall","TBG",1,2330,1130
"531b2a86fada152b630002b4","Striker Pub & Kitchen","Ambience Mall VK","SPK",1,2330,1130
"531ec1c05b2e10b974000006","Pizzavito","South Point Mall","PZV",1,2300,900
"5332a2924871e79576000c27","Tughlaq","Cross Point Mall","TGF",1,2300,900
"5332a73e4871e79576000c3a","Coffee & Chai Co","South Point Mall","CCC",1,2300,900
"5332a8e24871e79576000c41","Chin Chin","Sec 29","CHN",1,2300,900
"533544ff5efa419d1e00012f","Shawarma House","Central Plaza Mall","SHW",1,2300,900
"534b82cb0a9281e4520001bf","CupnCake Factory","Ninex City Mart","CNC",1,2300,900
"53635547bc7238613e000022","Italiano (Phase 3)","DLF Ph 3","IT1",1,2300,900
"53636f5fbc7238613e000032","Italiano (Cyber Hub)","Cyber Hub","IT2",1,2300,900
"53637721bc7238613e000037","Italiano (Mega Mall)","Mega Mall","IT3",1,2300,900
"537dab58870674306200001b","Caf� Gartino","Sec 29","CGT",1,2330,1130
"538363793557ce320800002f","Deewani Haandi","Supermart 1","DHI",1,2300,900
"539d95e1de8a546c09200397","Caf� Wanderlust","DLF Galleria","WNL",1,2300,900
"539e821dde8a546c092003da","Big Wong (Baani Square)","Baani Square","BW1",1,2300,900
"539e8397de8a546c092003e0","Big Wong Galleria)","DLF Galleria","BW2",1,2300,900
"53a1c5152b5309f3233cafdc","Fruit Press (Cybercity)","Cybercity","FP1",1,2300,900
"53a1cf0b2b5309f3233cb03c","Fruit Press (Sec 21)","Sec 21","FP2",1,2300,900
"53b3a93c484910756eadd591","Crusty - Gourmet Pizza & More (Baani Square)","Baani Square","CG2",1,2300,900
"53c147da2ad30fd5432a248b","Brewer Street","ILD Trade Centre","BST",1,2330,1130
"53c152212ad30fd5432a24a4","Eggers Madhouse","HUDA Metro Park","EMH",1,2300,900
"53d1346bbba01de22751971f","Pita Pan","HUDA Metro Park","PTP",1,2300,900
"53d74613cb91a8f8497a65f5","Kung Fu Chow","HUDA Metro Park","KCH",1,2300,900
"53d74fd8cb91a8f8497a660b","Crust Bistro","HUDA Metro Park","CRB",1,2300,900
"53e1f66ae3a03ce91ac6072b","Petooz","HUDA Metro Park","PTZ",1,2300,900
"53f4d386fefc1e08266727ce","Zaika Punjabi","HUDA Metro Park","ZKP",1,2300,900
"53f5aedefefc1e08266728ee","Potato Lovers Unltd (Galleria)","DLF Galleria","PL1",1,2300,900
"53f5b054fefc1e08266728f4","Potato Lovers Unltd (HUDA Metro Park)","HUDA Metro Park","PL2",1,2300,900
"53f5b5cafefc1e08266728f9","Potato Lovers Unltd (MGF Metropolitan Mall)","MGF Metropolitan Mall","PL3",1,2300,900
"53f6ff213da5b6dc2ee9dc67","Midnight Sutra","Roshanpura","MNS",0,,
"53fc29b00d7b347d37a429a9","Rumi's Kitchen","DLF Ph 1","RMK",1,2330,1130
"5402cc64ad0d0ffd5aa44817","Captain Bill$ Delivers","Golf Course Rd","CB1",0,,
"5402cdf7ad0d0ffd5aa44825","Captain Bill$ Delivers","Sohna Road","CB2",0,,
"5402d681ad0d0ffd5aa44845","Cherry Comet","Cyber Hub","CMT",1,2300,900
"54046f00ad0d0ffd5aa44ce0","Pep Box","HUDA Metro Park","PBX",1,2300,900
"540ea0a72f61834b5170eb06","7 Degrees Brauhaus","South Point Mall","7BR",1,2330,1130
"540ea67d2f61834b5170eb16","Cafe 7","South Point Mall","7CF",1,2300,900
"540f29192f61834b5170ec5e","Leaping Caravan","DLF Ph 4","LPC",0,,
"540ea3d32f61834b5170eb10","Beyond Breads","DLF Ph 1","BBR",1,2300,900
"5412f867d19d8b205b7666c3","Chicago Pizza","HUDA Metro Park","CPZ",1,2300,900
"541be1c9f9670ab508c48183","Fat Lulu's Cafe & Bar","Cross Point Mall","FL1",1,2300,900
"541be0d6f9670ab508c48179","Fat Lulu's","DLF Galleria","FL2",1,2300,900
"541bdfaef9670ab508c48170","Fat Lulu's","DLF Shopping Centre","FL3",1,2300,900
"5423aefa8afe31f047265334","Doughlicious (Vatika Business Park)","Vatika Business Park","DL1",1,2300,900
"5423b2d88afe31f047265345","Doughlicious (Sec 14)","Sector 14","DL2",1,2300,900
"54267a2bdb42c922700c30b8","Eat All Nite","DLF Ph 4","EAN",0,,
"54267edddb42c922700c30cf","Arabian Lites","MGF Metropolitan Mall","ARL",1,2300,900